date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:48:05	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
23:48:06	30804/30804	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:15%20GMT	https://preview.colorlib.com/theme/academia/	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/index.html	(from )
23:48:06	53553/53553	---M-Z	200	added ('OK')	text/css	etag:%22d131-5c1f9a2904454-gzip%22	https://preview.colorlib.com/theme/academia/css/animate.css	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/css/animate.css	(from https://preview.colorlib.com/theme/academia/)
23:48:07	1989/1989	---M-Z	200	added ('OK')	text/css	etag:%227c5-5c1f9a2904454-gzip%22	https://preview.colorlib.com/theme/academia/css/flaticon.css	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/css/flaticon.css	(from https://preview.colorlib.com/theme/academia/)
23:48:08	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22882-5c21cf2163a6d-gzip%22	https://preview.colorlib.com/theme/academia/css/tiny-slider.css	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/css/tiny-slider.css	(from https://preview.colorlib.com/theme/academia/)
23:48:09	8815/8815	---M-Z	200	added ('OK')	text/css	etag:%22226f-5c1f9a2904454-gzip%22	https://preview.colorlib.com/theme/academia/css/glightbox.min.css	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/css/glightbox.min.css	(from https://preview.colorlib.com/theme/academia/)
23:48:10	5860/5860	---M-Z	200	added ('OK')	text/css	etag:%2216e4-5c1f9a2904454-gzip%22	https://preview.colorlib.com/theme/academia/css/aos.css	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/css/aos.css	(from https://preview.colorlib.com/theme/academia/)
23:48:12	82340/82340	---M-Z	200	added ('OK')	text/css	etag:%22141a4-5c1f9a29053f4-gzip%22	https://preview.colorlib.com/theme/academia/css/style.css	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/css/style.css	(from https://preview.colorlib.com/theme/academia/)
23:48:13	30804/30804	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:15%20GMT	https://preview.colorlib.com/theme/academia/index.html	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/index-2.html	(from https://preview.colorlib.com/theme/academia/)
23:48:14	23982/23982	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:17%20GMT	https://preview.colorlib.com/theme/academia/courses.html	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/courses.html	(from https://preview.colorlib.com/theme/academia/)
23:48:15	17072/17072	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:16%20GMT	https://preview.colorlib.com/theme/academia/about.html	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/about.html	(from https://preview.colorlib.com/theme/academia/)
23:48:16	16785/16785	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:14%20GMT	https://preview.colorlib.com/theme/academia/team.html	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/team.html	(from https://preview.colorlib.com/theme/academia/)
23:48:17	15148/15148	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:17%20GMT	https://preview.colorlib.com/theme/academia/pricing.html	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/pricing.html	(from https://preview.colorlib.com/theme/academia/)
23:48:18	14840/14840	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:14%20GMT	https://preview.colorlib.com/theme/academia/blog.html	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/blog.html	(from https://preview.colorlib.com/theme/academia/)
23:48:19	12499/12499	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:16%20GMT	https://preview.colorlib.com/theme/academia/contact.html	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/contact.html	(from https://preview.colorlib.com/theme/academia/)
23:48:20	877812/877812	---M--	200	added ('OK')	image/jpeg	etag:%22d64f4-5bb3f3ef278a0%22	https://preview.colorlib.com/theme/academia/images/bg_1.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/bg_1.jpg	(from https://preview.colorlib.com/theme/academia/)
23:48:21	728161/728161	---M--	200	added ('OK')	image/jpeg	etag:%22b1c61-5bb3f40589f19%22	https://preview.colorlib.com/theme/academia/images/about.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/about.jpg	(from https://preview.colorlib.com/theme/academia/)
23:48:22	1239245/1239245	---M--	200	added ('OK')	image/jpeg	etag:%2212e8cd-5bb3f3f7a845c%22	https://preview.colorlib.com/theme/academia/images/bg_3.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/bg_3.jpg	(from https://preview.colorlib.com/theme/academia/)
23:48:23	232221/232221	---M--	200	added ('OK')	image/jpeg	etag:%2238b1d-5bb3f3fed23c8%22	https://preview.colorlib.com/theme/academia/images/author-1.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/author-1.jpg	(from https://preview.colorlib.com/theme/academia/)
23:48:23	36090/36090	---M--	200	added ('OK')	image/jpeg	etag:%228cfa-5bb3f3fe1f870%22	https://preview.colorlib.com/theme/academia/images/person_1.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/person_1.jpg	(from https://preview.colorlib.com/theme/academia/)
23:48:24	47939/47939	---M--	200	added ('OK')	image/jpeg	etag:%22bb43-5bb3f3fbfe9c9%22	https://preview.colorlib.com/theme/academia/images/person_2.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/person_2.jpg	(from https://preview.colorlib.com/theme/academia/)
23:48:25	35096/35096	---M--	200	added ('OK')	image/jpeg	etag:%228918-5bb3f3f9f13a1%22	https://preview.colorlib.com/theme/academia/images/person_3.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/person_3.jpg	(from https://preview.colorlib.com/theme/academia/)
23:48:27	20228/20228	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:18%20GMT	https://preview.colorlib.com/theme/academia/blog-single.html	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/blog-single.html	(from https://preview.colorlib.com/theme/academia/)
23:48:28	508668/508668	---M--	200	added ('OK')	image/jpeg	etag:%227c2fc-5bb3f3f9743a7%22	https://preview.colorlib.com/theme/academia/images/image_1.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/image_1.jpg	(from https://preview.colorlib.com/theme/academia/)
23:48:29	289681/289681	---M--	200	added ('OK')	image/jpeg	etag:%2246b91-5bb3f3f559758%22	https://preview.colorlib.com/theme/academia/images/image_2.jpg	/Applications/MAMP/htdocs/course/preview.colorlib.com/theme/academia/images/image_2.jpg	(from https://preview.colorlib.com/theme/academia/)
